id,track_name,period,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature,popularity
2Fq2sPXwM56hwtQBMN4Izr,ロングロングアゴー (ピアノ),古典派,トーマス・ヘインズ・ベイリー,0.990163934,0.293774061,0.087510889,0.007327174,0.918084991,0.141048035,0.833525088,0.451400054,1,0,52386,4,1
6m8RyBYiJQ7oTKDy306X3Q,8. ソナタ K.No.332: III. Assai Allegro,古典派,ヴォルフガング・アマデウス・モーツァルト,0.944262295,0.441125714,0.16369684,0.167463098,0.936515868,0.043668122,0.604776373,0.69590702,1,5,320933,4,0
5MwXzwM0rT4pmtYQy3sNUQ,ツェルニー 40番練習曲: 12. Molto allegro,ロマン派前期,カール・チェルニー,0.937704918,0.79822116,0.48047834,0.992566635,0.826954543,0.136681223,0.471192083,0.759947749,1,5,59813,4,0
4Cz86fqG79IVuEuRBAEgPd,ピアノ・ソナタ 第4番 変ホ長調 作品7 第一楽章,古典派,ルートヴィヒ・ヴァン・ベートーヴェン,0.918032787,0.247311828,0.29674507,0.088881809,0.922180741,0.040174672,0.513499173,0.6573888,1,10,485885,4,5
1mbFEPi4MDWsz6Uav2qTXr,13. ソナタ ハ長調: III. Finale Allegro,古典派,フランツ・ヨーゼフ・ハイドン,0.986885246,0.34952874,0.263483013,0.392587873,0.938563743,0.074235808,0.62882579,0.630693998,1,0,141240,3,1
4TeC2UdZqPIWn3sVFtvrbv,バッハ:2声のインヴェンション 第14番 変ロ長調 BWV785,バロック,ヨハン・セバスティアン・バッハ,0.990163934,0.583167397,0.375940445,0.316130402,0.926276492,0.068122271,0.398278674,0.934719989,1,10,57773,4,2
6XAbhRjmN0UfRjYcj2IRVZ,ティロリアンヌ,近現代,ジョセフ・ルンメル,0.272131148,0.571219966,0.661043795,0.989380907,0.991808499,0.153275109,0.565652786,0.473204716,1,0,94000,3,3
3dFbpJwYaoOI053sidvAwa,ピアノ・ソナタ 第10番 ト長調 作品14-2 第二楽章,古典派,ルートヴィヒ・ヴァン・ベートーヴェン,0.780327869,0.406610912,0.225469233,0.163215461,0.949827057,0.077292576,0.31738975,0.543140407,1,0,334507,4,3
27XKd2dH9RoYd2gSjgGmLn,3. ソナタ Hob.XVI:37: I. Allegro con brio,古典派,フランツ・ヨーゼフ・ハイドン,0.993442623,0.524757733,0.140096618,0.243920569,0.966210059,0.057641921,0.474766543,0.752880493,1,2,207120,4,1
0kptDcZknHavVqVjAeg2ty,おねだり,ロマン派前期,ロベルト・シューマン,0.980327869,0.366786141,0.428209393,0.652755655,0.920132866,0.532751092,0.29992516,0.393421758,0,11,62000,4,0
6XDtkKytX4zcSYsKQRa7Bt,ツェルニー 40番練習曲: 26. Allegro,ロマン派前期,カール・チェルニー,0.967213115,0.653524492,0.255563475,0.337368589,0.934467993,0.04628821,0.50354095,0.601956056,1,9,85747,5,0
1qa9RgH6JkbKML9eDwnCn6,"Andante con variazioni in F minor, H.XVII No. 6",古典派,フランツ・ヨーゼフ・ハイドン,0.980327869,0.417230851,0.39177952,0.538069449,0.951874932,0.092139738,0.439647469,0.539121115,0,5,929000,4,10
3vlfreoVRoddveewcLnFXM,9. ソナタ K.No.283: I. Allegro,古典派,ヴォルフガング・アマデウス・モーツァルト,0.875409836,0.263241736,0.336342758,0.164277371,0.917061053,0.049344978,0.481943389,0.720424705,1,7,183013,3,0
3ITR5Ae1ffJmiklIdyvH0O,ピアノ・ソナタ 第２番 変ロ短調 Op.35 「葬送」～第３楽章 葬送行進曲,ロマン派前期,フレデリック・ショパン,0.957377049,0.549980088,0.236556585,0.329935224,0.887366862,0.086462882,0.366801081,0.49869373,1,1,557277,4,19
0pMZPvmXAqmI3rzxfkfqnE,前奏曲集 第2巻 L.123 I- 霧,印象派,クロード・ドビュッシー,0.993442623,0.358821187,0.040944009,0.195072741,0.943683431,0.056331878,0.317758366,0.254722669,1,7,213160,3,1
44AvwzpuwYMZ5zDI8SMKdb,アンダルーサ,印象派,エンリケ・グラナドス,0.993442623,0.409265897,0.298328978,0.105872358,0.939587681,0.112663755,0.465031723,0.446275456,1,4,216787,3,3
3abH4PfYPXTOhTHZ10V0kV,ピアノ・ソナタ 第13番 変ホ長調 作品27-1 第三楽章,古典派,ルートヴィヒ・ヴァン・ベートーヴェン,0.957377049,0.386698526,0.306248515,0.426568971,0.856648734,0.049344978,0.413576248,0.441519293,1,3,180848,4,4
4DzLHDXr6Tljsfj7OC68DD,カヴァレリア・ルスティカーナ (ピアノ),近現代,ピエトロ・マスカーニ,0.986885246,0.828753485,0.475726618,0.095253265,0.964162184,0.084716157,0.194042938,0.559251072,1,5,174174,3,3
1ftqr1VMT1I5cViPQ5XOjG,兵隊の行進,ロマン派前期,ロベルト・シューマン,1,0.380061065,0.253979568,0.563555272,0.921156804,1,0.999106385,0.717946141,1,7,58773,4,6
3T4TrNa1yKsP1uZn1r4EhM,"ピアノ・ソナタ 第 1番ハ長調, 作品 1: 1. Allegro",ロマン派中期,ヨハネス・ブラームス,0.983606557,0.33227134,0.160529025,0.045768291,0.90989349,0.062445415,0.212082793,0.714094319,0,2,494720,4,1
0VmrqAZrdGHwEfAmwG69fg,ツェルニー 40番練習曲: 37. Molto allegro e giocoso,ロマン派前期,カール・チェルニー,0.4,0.167662286,0.190623268,0.091005628,0.898630176,0.030131004,0.568026451,0.795183548,1,8,88853,4,0
5O1wjgQbIM3dslsEUXS44D,ブルクミュラー25の練習曲: 23. 再会,ロマン派前期,ヨハン・ブルグミュラー,0.990163934,0.589804859,0.217549695,0.07072316,0.964162184,0.099126638,0.734802958,0.65437433,1,10,79907,1,4
3AmLb9WozQka9tT2dX20pI,11. ソナタ Op.49 No.1: I. Andante,古典派,ルートヴィヒ・ヴァン・ベートーヴェン,0.996721311,0.364131156,0.149758454,0.147286821,0.950850994,0.048471616,0.565138957,0.628081458,0,7,207560,4,0
1zF7fXrVrwCFZiXWTPsswN,Descriptions automatiques: Su un casque,印象派,エリック・サティ,0.980327869,0.357493694,0.225469233,0.256663481,0.906821677,0.173799127,0.399540905,0.657824223,1,0,62173,4,8
7qXJdmUCc6XIQWa5BGs6Zb,バラード 第１番 ト短調 Op.23,ロマン派前期,フレデリック・ショパン,0.895081967,0.470330546,0.311000238,0.251353934,0.925252554,0.040611354,0.540838211,0.688102894,0,7,554697,4,20
7dPTefegy8Fa3BXEofr0hJ,ブルクミュラー25の練習曲: 24. つばめ,ロマン派前期,ヨハン・ブルグミュラー,0.708196721,0.12518253,0.247643938,0.112243814,0.878151424,0.040611354,0.584105938,0.656919882,1,7,61293,4,4
3lRmCFeQbD8ascobXlZBNJ,別れ,ロマン派前期,ロベルト・シューマン,0.986885246,0.67476437,0.017185397,0.556121907,0.838217857,0.036681223,0.226860953,0.607717042,1,10,177867,4,0
